         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 codegen.py:1001(RuntimeLinker)
        1    0.000    0.000    0.000    0.000 codegen.py:1007(__init__)
        1    0.000    0.000    0.000    0.000 codegen.py:1012(scan_unresolved_symbols)
        1    0.000    0.000    0.000    0.000 codegen.py:1031(scan_defined_symbols)
        1    0.000    0.000    0.000    0.000 codegen.py:1039(resolve)
        1    0.000    0.000    0.000    0.000 codegen.py:1044(<listcomp>)
        4    0.000    0.000    0.000    0.000 codegen.py:1057(_proxy)
        5    0.000    0.000    0.014    0.003 codegen.py:1058(wrapper)
        1    0.000    0.000    0.000    0.000 codegen.py:1064(JitEngine)
        1    0.000    0.000    0.000    0.000 codegen.py:1069(__init__)
        3    0.000    0.000    0.000    0.000 codegen.py:1082(is_symbol_defined)
        1    0.000    0.000    0.001    0.001 codegen.py:1087(_load_defined_symbols)
        2    0.000    0.000    0.000    0.000 codegen.py:1091(<setcomp>)
        1    0.000    0.000    0.001    0.001 codegen.py:1094(add_module)
        1    0.000    0.000    0.000    0.000 codegen.py:1119(Codegen)
        1    0.000    0.000    0.000    0.000 codegen.py:1150(create_library)
        1    0.000    0.000    0.000    0.000 codegen.py:1161(CPUCodegen)
        1    0.000    0.000    0.008    0.008 codegen.py:1163(__init__)
        1    0.000    0.000    0.007    0.007 codegen.py:1173(_init)
        3    0.000    0.000    0.000    0.000 codegen.py:1199(_create_empty_module)
        2    0.000    0.000    0.006    0.003 codegen.py:1206(_module_pass_manager)
        1    0.000    0.000    0.000    0.000 codegen.py:1230(_function_pass_manager)
        3    0.000    0.000    0.000    0.000 codegen.py:1239(_pass_manager_builder)
        1    0.000    0.000    0.000    0.000 codegen.py:1259(_check_llvm_bugs)
        1    0.000    0.000    0.001    0.001 codegen.py:1296(_scan_and_fix_unresolved_refs)
        1    0.000    0.000    0.000    0.000 codegen.py:1313(_get_host_cpu_name)
        1    0.000    0.000    0.000    0.000 codegen.py:1318(_get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 codegen.py:1324(AOTCPUCodegen)
        1    0.000    0.000    0.000    0.000 codegen.py:1355(JITCPUCodegen)
        1    0.000    0.000    0.000    0.000 codegen.py:1362(_customize_tm_options)
        1    0.000    0.000    0.000    0.000 codegen.py:1389(_customize_tm_features)
        1    0.000    0.000    0.001    0.001 codegen.py:1393(_add_module)
        1    0.000    0.000    0.000    0.000 codegen.py:1411(initialize_llvm)
        1    0.000    0.000    0.000    0.000 codegen.py:1419(get_host_cpu_features)
        3    0.000    0.000    0.000    0.000 codegen.py:33(_parse_refprune_flags)
        1    0.000    0.000    0.000    0.000 codegen.py:519(CodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:530(__init__)
        2    0.000    0.000    0.000    0.000 codegen.py:554(name)
        3    0.000    0.000    0.000    0.000 codegen.py:561(_raise_if_finalized)
        3    0.000    0.000    0.000    0.000 codegen.py:566(_ensure_finalized)
        1    0.000    0.000    0.000    0.000 codegen.py:570(create_ir_module)
        1    0.000    0.000    0.000    0.000 codegen.py:642(CPUCodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:644(__init__)
        1    0.000    0.000    0.004    0.004 codegen.py:652(_optimize_functions)
        1    0.000    0.000    0.009    0.009 codegen.py:668(_optimize_final_module)
        1    0.000    0.000    0.008    0.008 codegen.py:724(add_ir_module)
        1    0.000    0.000    0.005    0.005 codegen.py:733(add_llvm_module)
        1    0.000    0.000    0.026    0.026 codegen.py:740(finalize)
        1    0.000    0.000    0.000    0.000 codegen.py:768(_finalize_dynamic_globals)
        1    0.000    0.000    0.000    0.000 codegen.py:774(_verify_declare_only_symbols)
        1    0.000    0.000    0.016    0.016 codegen.py:782(_finalize_final_module)
        1    0.000    0.000    0.000    0.000 codegen.py:84(_CFG)
        2    0.000    0.000    0.000    0.000 codegen.py:879(_object_compiled_hook)
        2    0.000    0.000    0.000    0.000 codegen.py:892(_object_getbuffer_hook)
        1    0.000    0.000    0.000    0.000 codegen.py:947(AOTCodeLibrary)
        1    0.000    0.000    0.000    0.000 codegen.py:972(JITCodeLibrary)
        3    0.000    0.000    0.000    0.000 codegen.py:974(get_pointer_to_function)
        1    0.000    0.000    0.015    0.015 codegen.py:995(_finalize_specific)
        2    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:14(SimpleIterableType)
        1    0.000    0.000    0.000    0.000 common.py:25(SimpleIteratorType)
       80    0.000    0.000    0.000    0.000 common.py:27(_is_shutting_down)
        1    0.000    0.000    0.000    0.000 common.py:36(Buffer)
      328    0.000    0.000    0.000    0.000 common.py:4(_encode_string)
        1    0.000    0.000    0.000    0.000 common.py:8(Opaque)
       44    0.000    0.000    0.000    0.000 common.py:9(_decode_string)
        1    0.000    0.000    0.000    0.000 compat.py:1(<module>)
        1    0.000    0.000    0.114    0.114 compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compiler.py:171(CompileResult)
        1    0.000    0.000    0.000    0.000 compiler.py:312(_CompileStatus)
        1    0.000    0.000    0.000    0.000 compiler.py:329(_EarlyPipelineCompletion)
        1    0.000    0.000    0.000    0.000 compiler.py:338(StateDict)
        1    0.000    0.000    0.000    0.000 compiler.py:375(CompilerBase)
        1    0.000    0.000    0.000    0.000 compiler.py:40(Flags)
        1    0.000    0.000    0.000    0.000 compiler.py:502(Compiler)
        1    0.000    0.000    0.000    0.000 compiler.py:518(DefaultPassBuilder)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:1(<module>)
        2    0.000    0.000    0.000    0.000 compiler_lock.py:11(acquire)
        2    0.000    0.000    0.000    0.000 compiler_lock.py:15(release)
        2    0.000    0.000    0.000    0.000 compiler_lock.py:19(__enter__)
        2    0.000    0.000    0.000    0.000 compiler_lock.py:22(__exit__)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:25(is_locked)
        6    0.000    0.000    0.000    0.000 compiler_lock.py:31(__call__)
      2/1    0.000    0.000    0.046    0.046 compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:52(require_global_compiler_lock)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:7(_CompilerLock)
        1    0.000    0.000    0.000    0.000 compiler_lock.py:8(__init__)
        1    0.000    0.000    0.001    0.001 compiler_machinery.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:106(FunctionPass)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:112(AnalysisPass)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:118(LoweringPass)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:124(AnalysisUsage)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:15(SimpleTimer)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:159(PassManager)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:28(CompilerPass)
       38    0.000    0.000    0.000    0.000 compiler_machinery.py:32(__init__)
       38    0.000    0.000    0.000    0.000 compiler_machinery.py:37(name)
        1    0.000    0.000    0.000    0.000 compiler_machinery.py:384(PassRegistry)
       38    0.000    0.000    0.000    0.000 compiler_machinery.py:393(register)
       38    0.000    0.000    0.001    0.000 compiler_machinery.py:394(make_festive)
       38    0.000    0.000    0.000    0.000 compiler_machinery.py:404(is_registered)
       38    0.000    0.000    0.000    0.000 compiler_machinery.py:411(_does_pass_name_alias)
        1    0.000    0.000    0.172    0.172 config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:111(process_environ)
       72    0.000    0.000    0.000    0.000 config.py:112(_readenv)
        1    0.000    0.000    0.000    0.000 config.py:286(avx_default)
        1    0.000    0.000    0.000    0.000 config.py:45(_os_supports_avx)
        1    0.000    0.000    0.000    0.000 config.py:71(_EnvReloader)
        1    0.000    0.000    0.000    0.000 config.py:73(__init__)
        1    0.000    0.000    0.000    0.000 config.py:76(reset)
        1    0.000    0.000    0.000    0.000 config.py:80(update)
        1    0.000    0.000    0.003    0.003 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        6    0.000    0.000    0.000    0.000 connection.py:122(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:135(__del__)
       21    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
        5    0.000    0.000    0.000    0.000 connection.py:147(_check_writable)
       32    0.000    0.000    0.000    0.000 connection.py:163(readable)
       32    0.000    0.000    0.000    0.000 connection.py:168(writable)
       16    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        2    0.000    0.000    0.000    0.000 connection.py:178(close)
        5    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:273(PipeConnection)
        2    0.000    0.000    0.000    0.000 connection.py:281(_close)
        5    0.000    0.000    0.000    0.000 connection.py:284(_send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
        3    0.000    0.000    0.001    0.000 connection.py:540(Pipe)
        1    0.000    0.000    0.000    0.000 connection.py:584(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:644(PipeListener)
        3    0.000    0.000    0.001    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 connection.py:770(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:792(XmlListener)
       16    0.000    0.000    0.000    0.000 connection.py:961(reduce_pipe_connection)
        1    0.000    0.000    0.000    0.000 constraint.py:10(DeltaPenalty)
        1    0.000    0.000    0.000    0.000 constraint.py:2(<module>)
        1    0.000    0.000    0.000    0.000 constraint.py:68(ClosestValidPenalty)
        1    0.000    0.000    0.000    0.000 consts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 consts.py:9(ConstantInference)
        1    0.000    0.000    0.015    0.015 containers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:106(ByteArray)
        1    0.000    0.000    0.000    0.000 containers.py:114(PyArray)
        1    0.000    0.000    0.000    0.000 containers.py:122(MemoryView)
        1    0.000    0.000    0.000    0.000 containers.py:139(BaseTuple)
        1    0.000    0.000    0.000    0.000 containers.py:179(BaseAnonymousTuple)
        1    0.000    0.000    0.000    0.000 containers.py:206(_HomogeneousTuple)
        1    0.000    0.000    0.000    0.000 containers.py:228(UniTuple)
        4    0.000    0.000    0.000    0.000 containers.py:233(__init__)
        4    0.000    0.000    0.000    0.000 containers.py:243(key)
        1    0.000    0.000    0.000    0.000 containers.py:260(UniTupleIter)
        1    0.000    0.000    0.000    0.000 containers.py:268(_HeterogeneousTuple)
        1    0.000    0.000    0.000    0.000 containers.py:289(UnionType)
        1    0.000    0.000    0.000    0.000 containers.py:29(Pair)
        1    0.000    0.000    0.000    0.000 containers.py:299(Tuple)
        1    0.000    0.000    0.000    0.000 containers.py:345(_StarArgTupleMixin)
        1    0.000    0.000    0.000    0.000 containers.py:355(StarArgTuple)
        1    0.000    0.000    0.000    0.000 containers.py:368(StarArgUniTuple)
        1    0.000    0.000    0.000    0.000 containers.py:373(BaseNamedTuple)
        1    0.000    0.000    0.000    0.000 containers.py:377(NamedUniTuple)
        1    0.000    0.000    0.000    0.000 containers.py:395(NamedTuple)
        1    0.000    0.000    0.000    0.000 containers.py:411(List)
        1    0.000    0.000    0.000    0.000 containers.py:471(LiteralList)
        1    0.000    0.000    0.000    0.000 containers.py:52(BaseContainerIterator)
        1    0.000    0.000    0.000    0.000 containers.py:524(ListIter)
        1    0.000    0.000    0.000    0.000 containers.py:532(ListPayload)
        1    0.000    0.000    0.000    0.000 containers.py:540(Set)
        1    0.000    0.000    0.000    0.000 containers.py:581(SetIter)
        1    0.000    0.000    0.000    0.000 containers.py:589(SetPayload)
        1    0.000    0.000    0.000    0.000 containers.py:597(SetEntry)
        1    0.000    0.000    0.000    0.000 containers.py:612(ListType)
        1    0.000    0.000    0.000    0.000 containers.py:659(ListTypeIterableType)
        1    0.000    0.000    0.000    0.000 containers.py:672(ListTypeIteratorType)
        1    0.000    0.000    0.000    0.000 containers.py:689(DictType)
        1    0.000    0.000    0.000    0.000 containers.py:764(LiteralStrKeyDict)
        1    0.000    0.000    0.000    0.000 containers.py:78(BaseContainerPayload)
        1    0.000    0.000    0.000    0.000 containers.py:816(DictItemsIterableType)
        1    0.000    0.000    0.000    0.000 containers.py:830(DictKeysIterableType)
        1    0.000    0.000    0.000    0.000 containers.py:844(DictValuesIterableType)
        1    0.000    0.000    0.000    0.000 containers.py:858(DictIteratorType)
        1    0.000    0.000    0.000    0.000 containers.py:869(StructRef)
        1    0.000    0.000    0.000    0.000 containers.py:929(StructRefPayload)
        1    0.000    0.000    0.000    0.000 containers.py:96(Bytes)
        4    0.000    0.000    0.055    0.014 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:103(CallFrame)
        1    0.000    0.000    0.000    0.000 context.py:110(SimpleQueue)
        1    0.000    0.000    0.000    0.000 context.py:12(ContextRef)
        4    0.000    0.000    0.000    0.000 context.py:13(__init__)
        1    0.000    0.000    0.000    0.000 context.py:130(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:134(__init__)
        1    0.000    0.000    0.000    0.000 context.py:14(ProcessError)
        1    0.000    0.000    0.000    0.000 context.py:147(init)
        1    0.000    0.000    0.000    0.000 context.py:17(BufferTooShort)
        1    0.000    0.000    0.000    0.000 context.py:18(Rating)
        4    0.000    0.000    0.000    0.000 context.py:187(get_context)
        4    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:20(GlobalContextRef)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:203(reducer)
        2    0.000    0.000    0.000    0.000 context.py:21(_dispose)
        1    0.000    0.000    0.000    0.000 context.py:220(Process)
        1    0.000    0.000    0.000    0.000 context.py:226(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:229(__init__)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
        2    0.000    0.000    0.000    0.000 context.py:233(get_context)
        4    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:322(SpawnProcess)
        4    0.000    0.000    0.023    0.006 context.py:324(_Popen)
        1    0.000    0.000    0.000    0.000 context.py:329(SpawnContext)
       52    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
        8    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
       20    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        2    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
        1    0.000    0.000    0.000    0.000 context.py:42(CallStack)
        1    0.000    0.000    0.000    0.000 context.py:47(__init__)
        2    0.000    0.000    0.000    0.000 context.py:486(_insert_global)
        1    0.000    0.000    0.000    0.000 context.py:5(Context)
        2    0.000    0.000    0.000    0.000 context.py:511(insert_global)
        1    0.000    0.000    0.000    0.000 context.py:6(__init__)
        1    0.000    0.000    0.001    0.001 context.py:60(Pipe)
        2    0.000    0.000    0.002    0.001 context.py:65(Lock)
        1    0.000    0.000    0.000    0.000 context.py:70(RLock)
        1    0.000    0.000    0.000    0.000 context.py:715(Context)
        4    0.000    0.000    0.000    0.000 context.py:8(get_global_context)
        1    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
    20/16    0.000    0.000    0.000    0.000 contextlib.py:112(__enter__)
    20/16    0.000    0.000    0.000    0.000 contextlib.py:121(__exit__)
       43    0.000    0.000    0.001    0.000 contextlib.py:215(contextmanager)
       20    0.000    0.000    0.000    0.000 contextlib.py:242(helper)
        4    0.000    0.000    0.000    0.000 contextlib.py:383(_create_cb_wrapper)
        4    0.000    0.000    0.000    0.000 contextlib.py:385(_exit_wrapper)
        1    0.000    0.000    0.000    0.000 contextlib.py:389(__init__)
        4    0.000    0.000    0.000    0.000 contextlib.py:433(callback)
        4    0.000    0.000    0.000    0.000 contextlib.py:451(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 contextlib.py:467(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:470(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:63(_recreate_cm)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
       20    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
        1    0.000    0.000    0.000    0.000 controlflow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 controlflow.py:14(CFBlock)
        1    0.000    0.000    0.000    0.000 controlflow.py:37(Loop)
        1    0.000    0.000    0.000    0.000 controlflow.py:57(_DictOfContainers)
        1    0.000    0.000    0.000    0.000 controlflow.py:728(ControlFlowAnalysis)
        1    0.000    0.000    0.000    0.000 controlflow.py:82(CFGraph)
    70/10    0.000    0.000    0.000    0.000 copy.py:128(deepcopy)
       30    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       10    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_dict)
       40    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
      481    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
       20    0.000    0.000    0.000    0.000 copy.py:263(<genexpr>)
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
       20    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
        3    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
      481    0.000    0.000    0.000    0.000 copyreg.py:94(__newobj__)
        2    0.000    0.000    0.003    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:102(Constant)
        1    0.000    0.000    0.000    0.000 core.py:1120(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
       14    0.000    0.000    0.002    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1278(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
       44    0.000    0.000    0.001    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1324(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1357(getmask)
        1    0.000    0.000    0.000    0.000 core.py:149(MAError)
        1    0.000    0.000    0.000    0.000 core.py:157(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:159(Module)
       24    0.000    0.000    0.000    0.000 core.py:16(_icmp_get)
        1    0.000    0.000    0.000    0.000 core.py:190(Function)
        1    0.000    0.000    0.000    0.000 core.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:196(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:2377(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:238(Builder)
        1    0.000    0.000    0.000    0.000 core.py:2383(__init__)
        1    0.000    0.000    0.000    0.000 core.py:253(MetaDataString)
        7    0.000    0.000    0.000    0.000 core.py:2549(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:259(MetaData)
        1    0.000    0.000    0.000    0.000 core.py:2594(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:265(InlineAsm)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2813(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2944(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2970(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3119(view)
        4    0.000    0.000    0.000    0.000 core.py:3401(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3417(shape)
        1    0.000    0.000    0.000    0.000 core.py:6231(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:64(Type)
        1    0.000    0.000    0.000    0.000 core.py:6426(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6430(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6436(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6454(__array_finalize__)
        6    0.000    0.000    0.000    0.000 core.py:65(int)
        2    0.000    0.000    0.000    0.000 core.py:6529(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6621(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6630(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6736(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6747(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6752(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:77(double)
        1    0.000    0.000    0.000    0.000 core.py:792(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:8083(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:8096(__init__)
        3    0.000    0.000    0.000    0.000 core.py:81(pointer)
        8    0.000    0.000    0.000    0.000 core.py:8101(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:817(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:825(__init__)
        1    0.000    0.000    0.000    0.000 core.py:835(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:841(__init__)
        1    0.000    0.000    0.000    0.000 core.py:85(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:856(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:862(__init__)
        1    0.000    0.000    0.000    0.000 core.py:872(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:878(__init__)
        1    0.000    0.000    0.000    0.000 core.py:888(_MaskedUFunc)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 core.py:898(_MaskedUnaryOperation)
        1    0.000    0.000    0.000    0.000 core.py:9(LLVMException)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 core.py:972(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.030    0.030 cpu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cpu.py:108(codegen)
        1    0.000    0.000    0.000    0.000 cpu.py:111(call_conv)
        1    0.000    0.000    0.000    0.000 cpu.py:23(ClosureBody)
        1    0.000    0.000    0.000    0.000 cpu.py:27(EnvBody)
        1    0.000    0.000    0.000    0.000 cpu.py:279(CPUTargetOptions)
        1    0.000    0.000    0.000    0.000 cpu.py:34(CPUContext)
        1    0.000    0.000    0.050    0.050 cpu.py:40(__init__)
        1    0.000    0.000    0.046    0.046 cpu.py:47(init)
        1    0.000    0.000    0.000    0.000 cpu_options.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cpu_options.py:109(InlineOptions)
        1    0.000    0.000    0.000    0.000 cpu_options.py:11(__init__)
      101    0.000    0.000    0.000    0.000 cpu_options.py:114(__init__)
        1    0.000    0.000    0.000    0.000 cpu_options.py:53(ParallelOptions)
        1    0.000    0.000    0.000    0.000 cpu_options.py:6(FastMathOptions)
        1    0.000    0.000    0.000    0.000 cpu_options.py:60(__init__)
        1    0.000    0.000    0.002    0.002 crossover.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:173(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:194(_concrete_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:353(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:364(<dictcomp>)
        1    0.000    0.000    0.000    0.000 dataflow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dataflow.py:10(DataFlowAnalysis)
        1    0.000    0.000    0.000    0.000 dataflow.py:782(LoopBlock)
        1    0.000    0.000    0.000    0.000 dataflow.py:789(WithBlock)
        1    0.000    0.000    0.000    0.000 dataflow.py:796(BlockInfo)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1145(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 datetime.py:1245(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1270(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1602(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2216(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2236(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:383(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:415(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:428(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:445(_check_tzinfo_arg)
        3    0.000    0.000    0.000    0.000 datetime.py:45(_days_before_year)
        1    0.000    0.000    0.000    0.000 datetime.py:473(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        5    0.000    0.000    0.000    0.000 datetime.py:50(_days_in_month)
        2    0.000    0.000    0.000    0.000 datetime.py:665(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
        2    0.000    0.000    0.000    0.000 datetime.py:823(__new__)
        1    0.000    0.000    0.000    0.000 debuginfo.py:1(<module>)
        2    0.000    0.000    0.000    0.000 debuginfo.py:13(suspend_emission)
        1    0.000    0.000    0.000    0.000 debuginfo.py:25(AbstractDIBuilder)
        1    0.000    0.000    0.000    0.000 debuginfo.py:267(NvvmDIBuilder)
        1    0.000    0.000    0.000    0.000 debuginfo.py:57(DummyDIBuilder)
        1    0.000    0.000    0.000    0.000 debuginfo.py:78(DIBuilder)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        3    0.000    0.000    0.181    0.060 decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:11(_BaseVectorize)
        2    0.000    0.000    0.000    0.000 decorators.py:191(_jit)
        2    0.000    0.000    0.051    0.025 decorators.py:196(wrapper)
        2    0.000    0.000    0.051    0.025 decorators.py:26(jit)
        1    0.000    0.000    0.000    0.000 decorators.py:30(Vectorize)
        1    0.000    0.000    0.000    0.000 decorators.py:41(GUVectorize)
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 descriptors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 descriptors.py:10(__init__)
        1    0.000    0.000    0.000    0.000 descriptors.py:8(TargetDescriptor)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:1706(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:44(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:756(Differ)
        1    0.000    0.000    0.000    0.000 dispatcher.py:103(_FunctionCompiler)
        2    0.000    0.000    0.000    0.000 dispatcher.py:104(__init__)
