         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      789    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      407    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      441    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1221    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:846(create_module)
    407/8    0.002    0.000    0.849    0.106 <frozen importlib._bootstrap_external>:849(exec_module)
     3948    0.026    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      407    0.006    0.000    0.242    0.001 <frozen importlib._bootstrap_external>:921(get_code)
       61    0.000    0.000    0.004    0.000 <frozen zipimport>:63(__init__)
       38    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.550    0.550 AG2.py:1(<module>)
        1    0.000    0.000    1.065    1.065 AG2.py:111(_population)
        1    0.003    0.003    1.065    1.065 AG2.py:112(<listcomp>)
        1    0.000    0.000    2.010    2.010 AG2.py:144(executa)
        1    0.002    0.002    0.704    0.704 AG2.py:158(<listcomp>)
        1    0.000    0.000    0.000    0.000 AG2.py:17(AG)
        1    0.000    0.000    0.025    0.025 AG2.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 AG2.py:22(__init__)
     1024    0.087    0.000    1.058    0.001 AG2.py:33(_cria_individuo)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       52    0.002    0.000    1.368    0.026 __init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:105(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1128(resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
        5    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.001    0.001 __init__.py:125(_ensure_critical_deps)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
       10    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
       74    0.000    0.000    0.001    0.000 __init__.py:1304(safe_name)
       74    0.000    0.000    0.002    0.000 __init__.py:1312(safe_version)
       10    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1381(get_resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
       39    0.000    0.000    0.001    0.000 __init__.py:1393(_get_metadata_path)
       37    0.000    0.000    0.002    0.000 __init__.py:1396(has_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1403(get_metadata)
       11    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1416(get_metadata_lines)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       40    0.000    0.000    0.001    0.000 __init__.py:1472(_fn)
